"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CONFIG","EPC PART NUMBER","MFG","MFGPN","NAME","PART NUMBER","QSGDESCRIPT","SCHDESCRIPT","STATUS","STATUS1","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SHEETPART","DESIGNATOR","DESCRIPTION"
"EPC2001C","D0188","","=MFGPN","*","EPC2001C","EPC","EPC2001C","","EPC2001C","100V 7mE 36A","100V 7mE 36A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1079-2-ND","917-1079-1-ND","917-1079-6-ND","","","","","Q?","100V 7mE 36A"
"EPC2007C","D0199","","=MFGPN","*","EPC2007C","EPC","EPC2007C","","EPC2007C","100V 30mE 6A","100V 30mE 6A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1081-2-ND","917-1081-1-ND","917-1081-6-ND","","","","","Q?","100V 30mE 6A"
"EPC2010C","D0309","","=MFGPN","*","EPC2010C","EPC","EPC2010C","","EPC2010C","200V 25mE 22A","200V 25mE 22A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1085-2-ND","917-1085-1-ND","917-1085-6-ND","","","","","Q?","200V 25mE 22A"
"EPC2012C","D0375","","=MFGPN","*","EPC2012C","EPC","EPC2012C","","EPC2012C","200V 100mE 5A","200V 100mE 5A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1084-2-ND","917-1084-1-ND","917-1084-6-ND","","","","","Q?","200V 100mE 5A"
"EPC2014C","D0199","","=MFGPN","*","EPC2014C","EPC","EPC2014C","","EPC2014C","40V 16mE 10A","40V 16mE 10A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1082-2-ND","917-1082-1-ND","917-1082-6-ND","","","","","Q?","40V 16mE 10A"
"EPC2015C","D0188","","=MFGPN","*","EPC2015C","EPC","EPC2015C","","EPC2015C","40V 4mE 53A","40V 4mE 53A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1083-2-ND","917-1083-1-ND","917-1083-6-ND","","","","","Q?","40V 4mE 53A"
"EPC2016C","D0155","","=MFGPN","*","EPC2016C","EPC","EPC2016C","","EPC2016C","100V 16mE 18A","100V 16mE 18A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1080-2-ND","917-1080-1-ND","917-1080-6-ND","","","","","Q?","100V 16mE 18A"
"EPC2019","D0364","","=MFGPN","*","EPC2019","EPC","EPC2019","","EPC2019","200V 50mE 8.5A","200V 50mE 8.5A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1087-2-ND","917-1087-1-ND","917-1087-6-ND","","","","","Q?","200V 50mE 8.5A"
"EPC2020","D0232","","=MFGPN","*","EPC2020","EPC","EPC2020","","EPC2020","60V 2.2mE 90A","60V 2.2mE 90A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1105-2-ND","917-1105-1-ND","917-1105-6-ND","","","","","Q?","60V 2.2mE 90A"
"EPC2021","D0232","","=MFGPN","*","EPC2021","EPC","EPC2021","","EPC2021","80V 2.5mE 90A","80V 2.5mE 90A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1089-2-ND","917-1089-1-ND","917-1089-6-ND","","","","","Q?","80V 2.5mE 90A"
